0
--------------------------------------------------------
The world settings      : 
Torus world             : No
Num Agents              : 100
Num Obstacles           : 10
Percent of free space   : 0
--------------------------------------------------------
The adaptive & perceptive settings: 
agent-coop     : yes
Adapt to obstacle       : yes
Attention distance      : 9
Attention angle         : 120
Attention resolution    : 9
Head tolerance          : 45
--------------------------------------------------------
The energy settings     : 
Energy maximum of agent : 200
Number of initial fruits: 3
Fruit sharing           : 17
Fruit's generating speed: 4
--------------------------------------------------------
Agents Behaviour Settings : 
Agents Initial behavior :kind
Memory       : yes
--------------------------------------------------------
sim_num 	 time 	 rs 	 no 	 n_alive 	 n_kind 	 n_realist 	 n_selfish 	 vital-space 	 nf 	 Rep
S40	1000	3	10	10	10	0	0	0.8965782391387928	5	0
S40	2000	3	10	7	7	0	0	0.8965782391387928	5	0
S41	0	3	10	100	100	0	0	0.8835063437139562	5	0
S41	1000	3	10	10	10	0	0	0.8835063437139562	5	0
S41	2000	3	10	6	6	0	0	0.8835063437139562	5	0
S42	0	3	10	100	100	0	0	0.8885044213763937	5	0
S42	1000	3	10	11	11	0	0	0.8885044213763937	5	0
S42	2000	3	10	5	5	0	0	0.8885044213763937	5	0
S43	0	3	10	100	100	0	0	0.8977316416762784	5	0
S43	1000	3	10	10	10	0	0	0.8977316416762784	5	0
S43	2000	3	10	6	6	0	0	0.8977316416762784	5	0
S44	0	3	10	100	100	0	0	0.8938869665513264	5	0
S44	1000	3	10	7	7	0	0	0.8938869665513264	5	0
S44	2000	3	10	5	5	0	0	0.8938869665513264	5	0
S45	0	3	10	100	100	0	0	0.8961937716262975	5	0
S45	1000	3	10	13	13	0	0	0.8961937716262975	5	0
S45	2000	3	10	6	6	0	0	0.8961937716262975	5	0
S46	0	3	10	100	100	0	0	0.8981161091887736	5	0
S46	1000	3	10	11	11	0	0	0.8981161091887736	5	0
S46	2000	3	10	10	10	0	0	0.8981161091887736	5	0
S47	0	3	10	100	100	0	0	0.8996539792387543	5	0
S47	1000	3	10	7	7	0	0	0.8996539792387543	5	0
S47	2000	3	10	7	7	0	0	0.8996539792387543	5	0
S48	0	3	10	100	100	0	0	0.8938869665513264	5	0
S48	1000	3	10	10	10	0	0	0.8938869665513264	5	0
S48	2000	3	10	6	6	0	0	0.8938869665513264	5	0
S49	0	3	10	100	100	0	0	0.8908112264513649	5	0
S49	1000	3	10	7	7	0	0	0.8908112264513649	5	0
S49	2000	3	10	5	5	0	0	0.8908112264513649	5	0
S50	0	3	10	100	100	0	0	0.8935024990388312	5	0
S50	1000	3	10	9	9	0	0	0.8935024990388312	5	0
S50	2000	3	10	6	6	0	0	0.8935024990388312	5	0
S51	0	3	10	100	100	0	0	0.8958093041138023	5	0
S51	1000	3	10	10	10	0	0	0.8958093041138023	5	0
S51	2000	3	10	5	5	0	0	0.8958093041138023	5	0
S52	0	3	10	100	100	0	0	0.8954248366013072	5	0
S52	1000	3	10	5	5	0	0	0.8954248366013072	5	0
S52	2000	3	10	3	3	0	0	0.8954248366013072	5	0
S53	0	3	10	100	100	0	0	0.8965782391387928	5	0
S53	1000	3	10	3	3	0	0	0.8965782391387928	5	0
S53	2000	3	10	2	2	0	0	0.8965782391387928	5	0
S54	0	3	10	100	100	0	0	0.89119569396386	5	0
S54	1000	3	10	9	9	0	0	0.89119569396386	5	0
S54	2000	3	10	6	6	0	0	0.89119569396386	5	0
S55	0	3	10	100	100	0	0	0.89119569396386	5	0
S55	1000	3	10	10	10	0	0	0.89119569396386	5	0
S55	2000	3	10	5	5	0	0	0.89119569396386	5	0
S56	0	3	10	100	100	0	0	0.89119569396386	5	0
S56	1000	3	10	10	10	0	0	0.89119569396386	5	0
S56	2000	3	10	8	8	0	0	0.89119569396386	5	0
S57	0	3	10	100	100	0	0	0.8931180315263361	5	0
S57	1000	3	10	10	10	0	0	0.8931180315263361	5	0
S57	2000	3	10	6	6	0	0	0.8931180315263361	5	0
S58	0	3	10	100	100	0	0	0.8981161091887736	5	0
S58	1000	3	10	10	10	0	0	0.8981161091887736	5	0
S58	2000	3	10	5	5	0	0	0.8981161091887736	5	0
S59	0	3	10	100	100	0	0	0.8850442137639369	5	0
S59	1000	3	10	9	9	0	0	0.8850442137639369	5	0
S59	2000	3	10	7	7	0	0	0.8850442137639369	5	0
S60	0	3	10	100	100	0	0	0.8935024990388312	5	0
S60	1000	3	10	8	8	0	0	0.8935024990388312	5	0
S60	2000	3	10	6	6	0	0	0.8935024990388312	5	0
S61	0	3	10	100	100	0	0	0.8923490965013456	5	0
S61	1000	3	10	9	9	0	0	0.8923490965013456	5	0
S61	2000	3	10	9	9	0	0	0.8923490965013456	5	0
S62	0	3	10	100	100	0	0	0.8915801614763552	5	0
S62	1000	3	10	11	11	0	0	0.8915801614763552	5	0
S62	2000	3	10	8	8	0	0	0.8915801614763552	5	0
S63	0	3	10	100	100	0	0	0.8965782391387928	5	0
S63	1000	3	10	9	9	0	0	0.8965782391387928	5	0
S63	2000	3	10	7	7	0	0	0.8965782391387928	5	0
S64	0	3	10	100	100	0	0	0.8881199538638985	5	0
S64	1000	3	10	9	9	0	0	0.8881199538638985	5	0
S64	2000	3	10	4	4	0	0	0.8881199538638985	5	0
S65	0	3	10	100	100	0	0	0.8996539792387543	5	0
S65	1000	3	10	6	6	0	0	0.8996539792387543	5	0
S65	2000	3	10	4	4	0	0	0.8996539792387543	5	0
S66	0	3	10	100	100	0	0	0.8888888888888888	5	0
S66	1000	3	10	11	11	0	0	0.8888888888888888	5	0
S66	2000	3	10	9	9	0	0	0.8888888888888888	5	0
S67	0	3	10	100	100	0	0	0.8938869665513264	5	0
S67	1000	3	10	12	12	0	0	0.8938869665513264	5	0
S67	2000	3	10	10	10	0	0	0.8938869665513264	5	0
S68	0	3	10	100	100	0	0	0.8827374086889658	5	0
S68	1000	3	10	10	10	0	0	0.8827374086889658	5	0
S68	2000	3	10	5	5	0	0	0.8827374086889658	5	0
S69	0	3	10	100	100	0	0	0.8935024990388312	5	0
S69	1000	3	10	14	14	0	0	0.8935024990388312	5	0
S69	2000	3	10	7	7	0	0	0.8935024990388312	5	0
S70	0	3	10	100	100	0	0	0.8827374086889658	5	0
S70	1000	3	10	7	7	0	0	0.8827374086889658	5	0
S70	2000	3	10	6	6	0	0	0.8827374086889658	5	0
S71	0	3	10	100	100	0	0	0.8954248366013072	5	0
S71	1000	3	10	11	11	0	0	0.8954248366013072	5	0
S71	2000	3	10	7	7	0	0	0.8954248366013072	5	0
S72	0	3	10	100	100	0	0	0.8915801614763552	5	0
S72	1000	3	10	7	7	0	0	0.8915801614763552	5	0
S72	2000	3	10	7	7	0	0	0.8915801614763552	5	0
S73	0	3	10	100	100	0	0	0.8927335640138409	5	0
S73	1000	3	10	7	7	0	0	0.8927335640138409	5	0
S73	2000	3	10	4	4	0	0	0.8927335640138409	5	0
S74	0	3	10	100	100	0	0	0.89119569396386	5	0
S74	1000	3	10	5	5	0	0	0.89119569396386	5	0
S74	2000	3	10	3	3	0	0	0.89119569396386	5	0
S75	0	3	10	100	100	0	0	0.8923490965013456	5	0
S75	1000	3	10	10	10	0	0	0.8923490965013456	5	0
S75	2000	3	10	10	10	0	0	0.8923490965013456	5	0
S76	0	3	10	100	100	0	0	0.8958093041138023	5	0
S76	1000	3	10	10	10	0	0	0.8958093041138023	5	0
S76	2000	3	10	7	7	0	0	0.8958093041138023	5	0
S77	0	3	10	100	100	0	0	0.895040369088812	5	0
S77	1000	3	10	9	9	0	0	0.895040369088812	5	0
S77	2000	3	10	5	5	0	0	0.895040369088812	5	0
S78	0	3	10	100	100	0	0	0.9011918492887351	5	0
S78	1000	3	10	8	8	0	0	0.9011918492887351	5	0
S78	2000	3	10	4	4	0	0	0.9011918492887351	5	0
S79	0	3	10	100	100	0	0	0.8946559015763168	5	0
S79	1000	3	10	6	6	0	0	0.8946559015763168	5	0
S79	2000	3	10	3	3	0	0	0.8946559015763168	5	0
S80	0	3	10	100	100	0	0	0.8908112264513649	5	0
S80	1000	3	10	8	8	0	0	0.8908112264513649	5	0
S80	2000	3	10	5	5	0	0	0.8908112264513649	5	0
S81	0	3	10	100	100	0	0	0.8931180315263361	5	0
S81	1000	3	10	9	9	0	0	0.8931180315263361	5	0
S81	2000	3	10	9	9	0	0	0.8931180315263361	5	0
S82	0	3	10	100	100	0	0	0.8896578239138793	5	0
S82	1000	3	10	12	12	0	0	0.8896578239138793	5	0
S82	2000	3	10	5	5	0	0	0.8896578239138793	5	0
S83	0	3	10	100	100	0	0	0.89119569396386	5	0
S83	1000	3	10	13	13	0	0	0.89119569396386	5	0
S83	2000	3	10	9	9	0	0	0.89119569396386	5	0
S84	0	3	10	100	100	0	0	0.895040369088812	5	0
S84	1000	3	10	10	10	0	0	0.895040369088812	5	0
S84	2000	3	10	7	7	0	0	0.895040369088812	5	0
S85	0	3	10	100	100	0	0	0.8873510188389081	5	0
S85	1000	3	10	7	7	0	0	0.8873510188389081	5	0
S85	2000	3	10	6	6	0	0	0.8873510188389081	5	0
S86	0	3	10	100	100	0	0	0.8992695117262591	5	0
S86	1000	3	10	10	10	0	0	0.8992695117262591	5	0
S86	2000	3	10	9	9	0	0	0.8992695117262591	5	0
S87	0	3	10	100	100	0	0	0.8900422914263745	5	0
S87	1000	3	10	11	11	0	0	0.8900422914263745	5	0
S87	2000	3	10	6	6	0	0	0.8900422914263745	5	0
S88	0	3	10	100	100	0	0	0.8954248366013072	5	0
S88	1000	3	10	10	10	0	0	0.8954248366013072	5	0
S88	2000	3	10	6	6	0	0	0.8954248366013072	5	0
S89	0	3	10	100	100	0	0	0.8988850442137639	5	0
S89	1000	3	10	9	9	0	0	0.8988850442137639	5	0
S89	2000	3	10	5	5	0	0	0.8988850442137639	5	0
S90	0	3	10	100	100	0	0	0.8946559015763168	5	0
S90	1000	3	10	8	8	0	0	0.8946559015763168	5	0
S90	2000	3	10	6	6	0	0	0.8946559015763168	5	0
S91	0	3	10	100	100	0	0	0.8904267589388697	5	0
S91	1000	3	10	9	9	0	0	0.8904267589388697	5	0
S91	2000	3	10	7	7	0	0	0.8904267589388697	5	0
S92	0	3	10	100	100	0	0	0.8865820838139177	5	0
S92	1000	3	10	9	9	0	0	0.8865820838139177	5	0
S92	2000	3	10	4	4	0	0	0.8865820838139177	5	0
S93	0	3	10	100	100	0	0	0.9011918492887351	5	0
S93	1000	3	10	10	10	0	0	0.9011918492887351	5	0
S93	2000	3	10	7	7	0	0	0.9011918492887351	5	0
S94	0	3	10	100	100	0	0	0.8888888888888888	5	0
S94	1000	3	10	9	9	0	0	0.8888888888888888	5	0
S94	2000	3	10	8	8	0	0	0.8888888888888888	5	0
S95	0	3	10	100	100	0	0	0.9000384467512496	5	0
S95	1000	3	10	12	12	0	0	0.9000384467512496	5	0
S95	2000	3	10	7	7	0	0	0.9000384467512496	5	0
S96	0	3	10	100	100	0	0	0.8938869665513264	5	0
S96	1000	3	10	8	8	0	0	0.8938869665513264	5	0
S96	2000	3	10	3	3	0	0	0.8938869665513264	5	0
S97	0	3	10	100	100	0	0	0.9008073817762399	5	0
S97	1000	3	10	5	5	0	0	0.9008073817762399	5	0
S97	2000	3	10	4	4	0	0	0.9008073817762399	5	0
S98	0	3	10	100	100	0	0	0.889273356401384	5	0
S98	1000	3	10	12	12	0	0	0.889273356401384	5	0
S98	2000	3	10	7	7	0	0	0.889273356401384	5	0
S99	0	3	10	100	100	0	0	0.8988850442137639	5	0
S99	1000	3	10	10	10	0	0	0.8988850442137639	5	0
S99	2000	3	10	8	8	0	0	0.8988850442137639	5	0
S100	0	3	10	100	100	0	0	0.9008073817762399	5	0
S100	1000	3	10	12	12	0	0	0.9008073817762399	5	0
S100	2000	3	10	4	4	0	0	0.9008073817762399	5	0
S101	0	4	10	100	100	0	0	0.8873510188389081	5	0
S101	1000	4	10	22	22	0	0	0.8873510188389081	5	0
S101	2000	4	10	19	19	0	0	0.8873510188389081	5	0
S102	0	4	10	100	100	0	0	0.8861976163014226	5	0
S102	1000	4	10	17	17	0	0	0.8861976163014226	5	0
S102	2000	4	10	16	16	0	0	0.8861976163014226	5	0
S103	0	4	10	100	100	0	0	0.8915801614763552	5	0
S103	1000	4	10	21	21	0	0	0.8915801614763552	5	0
S103	2000	4	10	19	19	0	0	0.8915801614763552	5	0
S104	0	4	10	100	100	0	0	0.8988850442137639	5	0
S104	1000	4	10	19	19	0	0	0.8988850442137639	5	0
S104	2000	4	10	17	17	0	0	0.8988850442137639	5	0
S105	0	4	10	100	100	0	0	0.896962706651288	5	0
S105	1000	4	10	25	25	0	0	0.896962706651288	5	0
S105	2000	4	10	21	21	0	0	0.896962706651288	5	0
S106	0	4	10	100	100	0	0	0.8961937716262975	5	0
S106	1000	4	10	23	23	0	0	0.8961937716262975	5	0
S106	2000	4	10	15	15	0	0	0.8961937716262975	5	0
S107	0	4	10	100	100	0	0	0.8908112264513649	5	0
S107	1000	4	10	23	23	0	0	0.8908112264513649	5	0
S107	2000	4	10	18	18	0	0	0.8908112264513649	5	0
S108	0	4	10	100	100	0	0	0.8981161091887736	5	0
S108	1000	4	10	22	22	0	0	0.8981161091887736	5	0
S108	2000	4	10	20	20	0	0	0.8981161091887736	5	0
S109	0	4	10	100	100	0	0	0.9008073817762399	5	0
S109	1000	4	10	24	24	0	0	0.9008073817762399	5	0
S109	2000	4	10	18	18	0	0	0.9008073817762399	5	0
S110	0	4	10	100	100	0	0	0.8961937716262975	5	0
S110	1000	4	10	22	22	0	0	0.8961937716262975	5	0
S110	2000	4	10	15	15	0	0	0.8961937716262975	5	0
S111	0	4	10	100	100	0	0	0.8900422914263745	5	0
S111	1000	4	10	17	17	0	0	0.8900422914263745	5	0
S111	2000	4	10	15	15	0	0	0.8900422914263745	5	0
S112	0	4	10	100	100	0	0	0.8846597462514417	5	0
S112	1000	4	10	17	17	0	0	0.8846597462514417	5	0
S112	2000	4	10	16	16	0	0	0.8846597462514417	5	0
S113	0	4	10	100	100	0	0	0.8938869665513264	5	0
S113	1000	4	10	25	25	0	0	0.89388
